product_id,view_freq,bought_freq
1065,3,0
1066,57,0
1067,10,0
1068,4,0
1069,20,1
1070,2,0
1071,9,0
1072,11,0
1073,1,0
1074,6,0
1075,9,0
1076,2,0
1077,21,1
1078,7,1
1079,46,3
1080,2,0
1081,21,0
1082,12,0
1085,108,0
6,283,2
302,144,1
318,29,0
1093,7,0
1094,20,0
805,83,2
1095,9,0
1096,11,0
1097,40,0
1098,4,0
1101,6,0
1102,6,0
1106,6,1
1107,12,0
1108,2,0
1109,9,0
966,122,0
250,17,0
1113,10,0
1117,4,0
1118,27,3
1127,35,0
1128,34,0
1129,10,0
1130,31,0
1131,17,0
1132,14,0
1133,8,0
1134,5,0
1137,42,0
1138,19,0
1139,51,0
1140,118,2
1141,82,1
1142,62,0
1143,12,0
1144,40,0
1145,22,0
1146,18,0
1147,17,1
1148,8,0
1149,25,0
1150,42,0
1151,52,1
1156,1,0
1157,27,1
1158,5,0
1159,8,0
1169,5,0
1163,2,0
1170,5,0
1164,7,0
1171,2,0
1168,1,0
1172,3,0
1173,4,0
1178,18,0
1179,22,1
1180,7,0
1181,95,9
1182,14,0
1183,10,0
1187,2,0
1188,37,0
1189,7,0
1190,17,0
1191,12,0
1194,2,0
1195,5,0
1198,56,1
1199,1,0
1200,14,0
1201,11,0
1202,14,0
1208,7,0
1209,9,0
13,10,0
1210,33,0
1211,1,0
1215,16,0
1216,4,0
1217,6,0
1218,7,0
1219,6,0
1227,6,0
1228,6,0
1229,2,0
1230,5,0
1231,10,0
1232,2,0
1256,44,0
1266,1,0
1267,1,0
1268,2,0
1274,5,0
1275,5,0
1277,116,1
158,641,14
1284,4,0
1290,4,0
1291,7,0
1292,20,0
1293,17,0
1297,12,0
1298,5,0
1299,5,0
1300,15,0
1304,2,0
1305,2,0
1306,15,1
469,124,2
1308,37,0
1312,51,2
1313,40,2
1314,50,4
1315,44,3
1316,31,1
1317,46,3
1318,19,1
1319,39,4
1320,16,2
1321,47,2
1323,159,1
1324,54,1
1325,5,0
1328,11,1
1329,4,0
1330,5,0
1331,11,0
1332,10,1
1333,1,0
1338,38,0
1339,69,0
1340,8,0
1341,27,1
1184,186,2
1345,67,0
126,100,1
1346,199,2
1347,52,0
1212,47,0
749,15,0
1349,140,2
1350,18,0
1351,18,0
1352,36,1
1353,19,0
1354,15,0
1355,23,0
1360,17,0
1367,7,0
1368,6,0
1373,1,0
1374,9,0
1375,3,0
1376,1,0
1377,1,0
1382,57,0
1383,1,0
1384,2,0
1385,2,1
1386,2,0
1387,9,0
1388,2,0
1389,1,0
1393,2,0
1396,7,1
1397,2,0
1398,10,0
1399,4,0
1407,3,0
1408,4,0
1410,2,0
1414,35,1
977,64,10
1417,6,0
1423,3,0
1424,3,0
1425,1,0
1426,16,0
1427,19,1
1431,36,1
1432,31,0
1433,41,0
1436,1,0
1437,1,0
1214,149,0
1444,1,0
1445,2,0
1446,1,0
1447,1,0
1451,4,0
1452,3,0
1453,3,0
1454,3,0
1460,2,0
1461,1,0
1462,2,0
1463,12,0
1466,3,0
1467,23,0
1468,10,0
1469,23,0
1470,27,0
1471,1,0
1472,1,0
1473,3,0
1477,21,0
756,24,0
1478,8,0
1475,69,0
1474,91,3
1479,11,0
1480,17,0
202,66,1
1483,57,0
200,18,0
1484,7,0
1485,2,0
1486,16,0
1491,17,0
1492,18,0
1494,98,1
1495,31,1
1496,53,1
1497,28,0
1498,47,0
1499,39,0
1500,12,0
1501,8,0
1502,35,0
1503,24,0
1504,6,0
1505,16,0
1506,22,0
1507,25,0
1508,14,0
1509,14,0
1510,15,0
1511,10,0
1512,7,0
1513,12,0
1514,12,0
1515,5,0
1516,4,0
106,82,1
1517,35,1
1523,39,1
1524,27,0
1525,1,0
1535,32,0
1536,58,1
1540,36,0
1541,1,0
1545,8,1
317,63,1
1548,30,2
1549,71,0
1550,12,0
779,66,0
1551,81,1
1552,60,0
1553,8,0
1554,6,0
1555,2,0
1556,1,0
858,2,0
1560,4,0
1561,14,1
1562,2,0
1564,6,0
1565,5,0
1566,8,1
1568,5,0
1571,43,0
1572,33,1
1573,9,0
1570,4,0
1574,5,0
1575,4,0
1576,2,0
1577,4,0
1578,1,0
1579,1,0
1580,2,0
1581,2,0
1582,1,0
1583,3,0
1584,9,0
1585,4,0
1586,12,0
1587,4,0
1592,38,0
1593,2,0
1594,2,0
1616,3,0
1617,1,0
1618,2,0
1619,2,0
1620,3,0
1621,4,0
1622,3,0
1623,25,0
1626,3,0
1627,6,0
1628,7,1
1629,1,0
1630,6,0
1631,4,0
1632,2,0
1633,2,0
1634,50,1
1635,16,0
1636,4,0
1640,5,0
1641,4,0
1642,6,0
1646,3,0
1647,4,0
1648,48,0
1649,61,0
1650,50,0
1651,131,3
1652,23,0
1653,32,0
1654,87,2
1657,39,1
1658,18,0
1659,2,0
1660,72,1
1661,3,0
1662,12,1
1666,11,0
1669,44,2
1670,25,0
1671,24,0
1672,26,0
1693,4,0
1694,2,0
1695,1,0
1696,1,0
1697,1,0
1698,11,0
1699,3,0
1700,3,0
1701,9,0
1702,7,1
1703,1,0
1704,7,0
1710,20,0
1711,34,0
1712,8,0
1713,22,0
1722,7,0
1723,7,0
1724,3,0
1727,7,1
1729,9,2
1730,10,0
1734,2,0
1735,4,0
1736,7,2
1737,5,0
1741,7,0
1742,2,0
1743,2,0
1744,1,0
